Date,open,high,low,close,volume,logret_1d,logret_3d,logret_5d,realized_vol_10,bb_pos,rsi_14,macd,macd_sig,macd_diff,log_vol,vol_z_20,sma_diff,target
2012-06-08,17.15950482,17.42908612,17.08145230,17.42127991,347516400,0.01493053,0.03060222,0.03387687,0.01406335,0.65585680,71.83082631,-0.01505571,-0.09457638,0.07952067,19.66632242,-1.55249396,0.01461145,0
2012-06-11,17.64342111,17.66683653,17.13037725,17.14658928,591264800,-0.01589316,-0.00050734,0.01211863,0.01508400,0.31599161,55.33838939,-0.00898217,-0.07745754,0.06847537,20.19777453,0.66705921,0.01578827,1
2012-06-12,17.24535757,17.31019930,17.01240094,17.29639053,435380400,0.00869856,0.00773593,0.02340762,0.01427454,0.45255088,60.28297275,0.00782862,-0.06040030,0.06822893,19.89173069,-0.83588528,0.01486118,0
2012-06-13,17.24715133,17.36603046,17.12286765,17.17630386,293580000,-0.00696709,-0.01416169,0.00122414,0.01385845,0.28093392,50.95553727,0.01133069,-0.04605411,0.05738480,19.49766073,-2.42820850,0.01191056,0
2012-06-14,17.14869068,17.21653690,17.02921190,17.15739632,345573200,-0.00110140,0.00063007,-0.00033256,0.01385125,0.22312825,53.92497799,0.01243706,-0.03435587,0.04679293,19.66071505,-1.47031001,0.00853677,1
2012-06-15,17.14148762,17.25016054,17.09795786,17.23545074,335255200,0.00453900,-0.00352949,-0.01072409,0.00966543,0.29673683,57.52412053,0.01938870,-0.02360696,0.04299566,19.63040259,-1.49174228,0.00694195,1
2012-06-18,17.14028593,17.64852488,17.12257325,17.58518219,440412000,0.02008827,0.02352587,0.02525735,0.01117454,1.02798335,58.40699008,0.05251299,-0.00838297,0.06089596,19.90322121,0.02729415,0.00581955,1
2012-06-19,17.51373760,17.71187012,17.50473216,17.63411903,361404400,0.00277898,0.02740625,0.01933777,0.01096370,0.97387306,55.48746174,0.08177043,0.00964771,0.07212272,19.70550811,-0.77623609,0.00782037,0
2012-06-20,17.65813487,17.68935651,17.43568590,17.58398628,358943200,-0.00284699,0.02002027,0.02345787,0.01043599,0.80140369,55.31804860,0.09976187,0.02767054,0.07209133,19.69867472,-0.64178430,0.00778246,0
2012-06-21,17.57497702,17.65843245,17.33481540,17.34172058,326351200,-0.01387342,-0.01394143,0.01068584,0.01165549,0.26376632,62.51490897,0.09339481,0.04081540,0.05257941,19.60348466,-1.19903423,0.00819522,1
2012-06-22,17.38285300,17.47741575,17.27418007,17.47471428,284471600,0.00763975,-0.00908067,0.01378659,0.01089281,0.49281524,63.14006229,0.09795122,0.05224256,0.04570866,19.46614398,-2.05849962,0.00703234,0
2012-06-25,17.33061316,17.40566436,17.12257420,17.13458252,304382400,-0.01965615,-0.02588983,-0.02595784,0.01155922,-0.27035217,55.11324022,0.07327179,0.05644841,0.01682338,19.53379536,-1.57141565,0.00621988,1
2012-06-26,17.15139369,17.24625783,17.03131368,17.17240906,276536400,0.00220518,-0.00981122,-0.02653164,0.01118835,-0.18426699,50.40573737,0.05611855,0.05638244,-0.00026389,19.43785302,-1.74913953,0.00552232,1
2012-06-27,17.26156493,17.31380032,17.16910407,17.24655533,202997200,0.00430846,-0.01314251,-0.01937619,0.01105614,-0.00167617,51.91766400,0.04795467,0.05469688,-0.00674221,19.12870274,-3.20386745,0.00633831,0
2012-06-28,17.16159857,17.23154503,16.97967652,17.08294487,282836400,-0.00953184,-0.00301820,-0.01503460,0.01149667,-0.34122766,41.87208866,0.02796044,0.04934959,-0.02138916,19.46037920,-1.33188631,0.00666710,1
2012-06-29,17.35162243,17.53174400,17.23904726,17.53174400,421500800,0.02593259,0.02070921,0.00325824,0.01419819,0.62376091,58.53840872,0.04777844,0.04903536,-0.00125692,19.85933223,1.08641253,0.00636952,1
2012-07-02,17.55366529,17.81603993,17.51974218,17.78752136,400092000,0.01448398,0.03088473,0.03739837,0.01348459,1.05456587,60.39914252,0.08316477,0.05586125,0.02730353,19.80720508,0.90101911,0.00507500,1
2012-07-03,17.85836932,18.01207265,17.83195261,17.99435997,241712800,0.01156121,0.05197778,0.04675440,0.01388300,1.24822037,66.70762121,0.12644131,0.06997726,0.05646405,19.30326080,-2.30235916,0.00397163,1
2012-07-05,18.02887729,18.44255507,18.00155956,18.31046677,484383200,0.01741448,0.04345967,0.05986042,0.01455563,1.37183916,71.00041338,0.18412300,0.09280641,0.09131659,19.99838689,1.85178072,0.00481300,0
2012-07-06,18.22491960,18.26544650,18.05950932,18.18859482,418930400,-0.00667811,0.02229757,0.06271415,0.01372542,0.99377197,67.08652231,0.21749495,0.11774412,0.09975084,19.85321535,0.98413303,0.00671090,1
2012-07-09,18.17117397,18.42934644,18.13545043,18.42904663,379405600,0.01313330,0.02386967,0.04991486,0.01396105,1.08325047,65.74438768,0.26034384,0.14626406,0.11407978,19.75411638,0.41154193,0.00926185,0
2012-07-10,18.55152653,18.60856524,18.17147206,18.25853157,511957600,-0.00929559,-0.00284040,0.02613529,0.01217159,0.77421457,61.14438144,0.27734568,0.17248039,0.10486530,20.05375237,2.06849301,0.01246318,0
2012-07-11,18.19578509,18.24201631,17.92860726,18.14505196,469322000,-0.00623455,-0.00239684,0.00833953,0.01276912,0.58021043,59.79235520,0.27845308,0.19367492,0.08477815,19.96679966,1.58765496,0.01554442,0
2012-07-12,18.01927867,18.11624308,17.79232616,17.97905159,428041600,-0.00919062,-0.02472076,-0.01826557,0.01359689,0.35581459,61.42764413,0.26290524,0.20752099,0.05538426,19.87473095,1.01273989,0.01738369,1
2012-07-13,18.10063432,18.22791775,18.01207414,18.16127396,311427200,0.01008424,-0.00534093,-0.00150322,0.01279345,0.50881507,62.09678232,0.26226408,0.21846961,0.04379447,19.55667616,-0.85303653,0.02058833,1
2012-07-16,18.16577499,18.36090462,18.16277211,18.21951103,301260400,0.00320153,0.00409515,-0.01143499,0.01073628,0.52062382,71.22413936,0.26341867,0.22745942,0.03595925,19.52348556,-1.01698618,0.02163323,1
